id,query,label
0,چرا آخر ترم درس انقدر فشرده میشوند,4
1,فرجه این ترم چقدر,1
2,صندلی دانشگاه ابری کنید,4
3,محل تشکیل امتحان,4
4,دانشکده زیراکس دارد,3
5,اتاق اساتید در کدام طبقه,2
6,خوابگاه هنوز باز نشده اند,4
7,حجم تمرین فلان درس خیلی بالاست,4
8,انتخاب واحد کی,1
9,چجوری می تونم برم آموزش دانشکده,5
10,بر روی کامپیوتر سایت چه سیستم عاملی سوار,3
11,ترم دهم شامل سنوات,1
12,برای گرفتن وام دانشجویی باید کجا مراجعه کنم,2
13,سیستم گرمایشی کلاس مناسب نیست,4
14,کیفیت غذا در دانشگاه چگونه,1
15,تمرین هارا کجا آپلود کنیم,5
16,کلاس رو لطفا حضوری کنید,4
17,اموزش دانشکده کجا میباشد,2
18,برای دروس افتاده باید شهریه پرداخت کرد,1
19,لطفا ترم بعد کلاس رو صورت نیمه حضوری برگزار کنید,4
20,نزدیکترین بوفه نسبت دانشکده کجا,2
21,علایم کرونا چیست,5
22,این سیستم روشن نمیشود,3
23,چرا امبدد رو فقط یک استاد ارائه میده,4
24,دستشویی طبقه اول خراب,4
25,ممکن شرایط برگزاری امتحان در سامانه قرار دهید,1
26,بوفه خوب نزدیک دانشکده کجا,2
27,سیستم جستجوی کتابها کجا,3
28,چرا درسهای اختیاری کمن,4
29,بسیج کجا,2
30,چنتا کتاب راجب فناوری اطلاعات دارین,3
31,چرا هزینه ی ترم تابستونی اینقدر زیاد,1
32,کتاب ریاضی کجا,3
33,حالت چطوره,5
34,کتاب پترسون کی در کتابخانه موجود می شود,3
35,شرایط برخورداری بیمه دانشجویی چیست,5
36,چه اساتیدی درس ایکس رو ارائه میدن,1
37,هر ترم چند درس می توان حذف اضطراری کرد,1
38,فرجه بیشتر کنید,4
39,سایت بوفه دارد,3
40,هدف زندگی,5
41,آیا گیم بازی کردن باعث افزایش عمر میشود,3
42,سال تاسيس کی,1
43,معدل الف چند بالاست,1
44,چطور وارد انجمن دانشجویی شوم,5
45,چگونه میتوان خوابگاه کوی دانشگاه رفت,5
46,کلاس کجا,1
47,چرا فرجه نداریم,4
48,جمعه کدوم قسمت دانشگاه بازه,2
49,توی طبقه دوم چه کلاس هایی,2
50,کلاس کجا,1
51,ببخشید ساعت چند,2
52,کتاب رو تاخیر تحویل بدم جریمه میشم,3
53,چگونه کارت دانشجویی گم شده ام درخواست جدید بدهم,3
54,چرا کلاس حضوری نمیشوند,4
55,مسئول مالی آموزش کل چه کسی,2
56,انتخاب واحد ترم جدید چه تاریخی,1
57,می خواهم درخواست دهم درس رمزنگاری ارائه شود,1
58,می تونم ساعت کتابخانه استفاده کنم,3
59,نمازخانه کجا,2
60,مهلت تحویل کتاب چند روز بعد امانت گرفتن,3
61,رمز شناسه بهشتی کجا بگیرم,2
62,ترم آینده چه زمانی شروع می شود,1
63,آموزشیارهای درس الگوریتم خوبند,4
64,پکیج visual studio رو میتوان رو فلش بریزید,3
65,فوتبال دیشب دیدید,5
66,متوسط hindex استاد,4
67,گربه دورور دانشکده کجا رفتن,5
68,جریمه,3
69,امتحان درس پایگاه داده در چه تاریخی برگزار میشه,1
70,کجا پیش نیاز دروس رو ببینم,1
71,سطح بعضی امتحانات بیش اندازه بالاتر تدریس اساتید,4
72,حداکثرچند کتاب میتوانم بگیرم,3
73,چند واحد میتوان اخذ کرد,1
74,تعداد غیبت مجاز برای هر درس چند جلسه میباشد,1
75,فرجه نداریم و واقعا نیازه,1
76,برای حضوری شدن دانشگاه برنامه ای در نظر گرفته شده,4
77,کارگاه کامپیوتر کجا,2
78,چند کتاب میتوان قرض گرفت,3
79,مدرسه تکمیلی چند واحد داره,1
80,مسابقات مهیج بین دانشجویان در سال برگزار کنید,4
81,زمان جشن روز دانشکده کی,2
82,پروژه که اساتید میدن شدت سخته,4
83,مهلت تحویل کتاب، مجازی هم قابل تمدید,3
84,دانشکده هر روز چه ساعتی باز,2
85,هیچ وجه وسط کرونا داشگاه رو حضوری نکنید,1
86,بوفه ی دانشکده کجا,2
87,برای صدور کارت دانشجویی المثنی چه مدارکی نیازه,1
88,برای گرفتن مدارک کجا باید مراجعه کرد,1
89,جریمه دیرکرد رو کجا پرداخت کنم,2
90,نظرسنجی اساتید انجام ندهم مهم,1
91,چه روزهایی معاون آموزشی می توان مراجعه کرد,1
92,چرا حین امتحانات پایان ترم بخشی پروژه می خواید,4
93,چگونه میتوانم ترم حذف کنم,1
94,آدرس اتاق دکتر قوامی زاده بدهید,2
95,مقدار وام دانشجویی چقدر,5
96,میشه نمازخونه خوابید,2
97,اخرین چاپ کتاب معماری هریس چه زمانی میباشد,3
98,بهم واحد کم رسیده ، حالا چیکار کنم,1
99,نماز جماعت برگزار می,4
100,لیست دروس ارائه شده کجا میتوانم ببینم,1
101,آیا می توانم روی کامپیوتر سایت نرم افزار نصب کنم,3
102,رمز اکانت چگونه پیدا کنم,3
103,چجوری می تونم برای نمره اعتراض بزنم,3
104,آموزش کجا,2
105,تعداد مایکروویو دانشکده رو زیاد کنید,4
106,برای حذف ترم کیا باید تایید کنن,1
107,بوفه مرکزی کی باز,3
108,پایان امتحانات چه تاریخی,1
109,مسئول سلف بسیار ادم شریفی,4
110,پارک دانشگاه چمن ندارد,5
111,ورود ماشین دانشگاه چطور ممکن,5
112,امکان استفاده سایت در چه ساعاتی فراهم,3
113,لابی خراب شده رسیدگی کنید,4
114,اموزش برق کجا,2
115,ترم بعدی چند واحد میتوانم انتخاب کنم,1
116,چرا آموزش حضوری آغاز نمیکنید,4
117,میشه دو ترم پشت هم حذف کرد,1
118,چرا لابی دانشکده کامپیوتر خراب کردید,4
119,لطفا برگه امضا کنید,4
120,بعضی اساتید کلاس جبرانی در روزهای تعطیل برگزار میکنند,4
121,امور خوابگاها کجا,2
122,چرا دانشکده اقدامی جهت اجرای فرجه امتحانات نمی کند,4
123,میزان فرجه چند روز,1
124,تاکسی داخل دانشگاه کجا,2
125,بهترین راه جلوگیری بیماری قلبی چیست,4
126,چه خبر,1
127,وام دانشجویی تعلق میگیرد,5
128,تعداد سری تمرین درس نظریه زبان و ماشین چقدر,1
129,دستیار استاد بودن چه تاثیری دارد,1
130,دانشکده چند سایت,3
131,کتاب فیزیک هالیدی در کتابخانه موجود,3
132,استاد نمرات خیلی دیر اعلام میکند,4
133,تاریخ امروز چیست,1
134,مهلت نظرسنجی اساتید کی,1
135,رئیس گروه نرم افزار کیست,3
136,دوتا میخوام,3
137,آیا میشه رو کامپیوتر بازی نصب کنم,3
138,نمازخانه کجا,2
139,چند ترم فرصت تحصیل داریم,1
140,ارسال کتاب صورت پستی امکانش,3
